consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria
86,False,9,Comércio,5,Eficiente
82,False,12,Casa,2,Eficiente
442,True,10,Casa,3,Moderado
587,True,3,Casa,7,Ineficiente
353,True,15,Casa,7,Ineficiente
585,False,10,Comércio,10,Ineficiente
94,True,7,Apartamento,1,Eficiente
271,True,14,Apartamento,10,Moderado
564,True,9,Apartamento,11,Ineficiente
107,True,13,Casa,11,Moderado
118,False,13,Casa,4,Eficiente
352,True,3,Apartamento,6,Moderado
310,False,4,Apartamento,8,Moderado
165,True,3,Casa,3,Eficiente
553,False,7,Apartamento,3,Moderado
205,True,16,Apartamento,8,Moderado
616,True,16,Casa,8,Ineficiente
224,False,8,Apartamento,8,Eficiente
604,True,12,Casa,1,Ineficiente
291,True,11,Apartamento,8,Moderado
104,True,10,Apartamento,8,Moderado
659,True,9,Comércio,2,Ineficiente
473,True,14,Casa,9,Ineficiente
146,True,7,Casa,7,Moderado
312,False,16,Casa,8,Moderado
188,False,17,Casa,2,Eficiente
225,True,5,Apartamento,4,Eficiente
190,False,11,Comércio,7,Moderado
307,True,15,Casa,6,Moderado
190,False,7,Casa,7,Eficiente
549,False,5,Casa,1,Moderado
113,False,5,Apartamento,8,Eficiente
448,True,5,Casa,7,Moderado
674,True,16,Casa,4,Ineficiente
633,True,8,Apartamento,1,Ineficiente
504,True,3,Casa,8,Ineficiente
692,True,13,Apartamento,10,Ineficiente
597,True,6,Apartamento,7,Ineficiente
361,True,15,Casa,8,Ineficiente
399,True,10,Apartamento,10,Moderado
522,False,5,Apartamento,1,Moderado
394,False,7,Apartamento,5,Eficiente
456,False,4,Casa,9,Ineficiente
368,True,17,Casa,5,Moderado
516,False,4,Apartamento,10,Ineficiente
356,False,13,Apartamento,3,Moderado
661,True,15,Casa,9,Ineficiente
582,True,9,Casa,9,Ineficiente
595,False,12,Casa,4,Ineficiente
429,True,5,Casa,4,Moderado
525,True,7,Apartamento,11,Ineficiente
429,True,5,Casa,8,Moderado
686,True,8,Casa,7,Ineficiente
216,False,15,Apartamento,11,Moderado
322,False,12,Casa,5,Moderado
622,True,5,Apartamento,6,Ineficiente
119,True,10,Apartamento,3,Eficiente
308,False,4,Casa,6,Eficiente
627,False,5,Apartamento,8,Ineficiente
302,True,10,Apartamento,10,Moderado
85,False,10,Casa,11,Eficiente
401,True,3,Casa,9,Moderado
547,True,10,Apartamento,3,Ineficiente
154,False,12,Comércio,8,Moderado
83,True,4,Apartamento,3,Eficiente
197,False,14,Casa,2,Eficiente
685,False,9,Apartamento,5,Moderado
583,False,8,Casa,4,Moderado
653,True,4,Apartamento,5,Ineficiente
520,True,7,Apartamento,6,Ineficiente
273,True,9,Apartamento,3,Eficiente
471,True,10,Apartamento,1,Ineficiente
105,False,5,Apartamento,4,Eficiente
514,False,3,Apartamento,6,Moderado
252,False,15,Casa,2,Eficiente
379,False,9,Apartamento,2,Eficiente
405,False,15,Comércio,1,Moderado
489,True,7,Casa,9,Ineficiente
197,True,7,Apartamento,3,Eficiente
304,False,9,Casa,2,Eficiente
611,True,3,Apartamento,4,Ineficiente
192,True,10,Apartamento,6,Eficiente
219,True,14,Casa,1,Moderado
638,False,16,Comércio,9,Ineficiente
80,True,12,Casa,9,Moderado
169,False,17,Apartamento,8,Moderado
399,False,7,Apartamento,6,Eficiente
629,True,10,Casa,4,Ineficiente
218,True,12,Casa,2,Moderado
590,True,17,Casa,8,Ineficiente
338,False,12,Apartamento,7,Moderado
89,False,7,Apartamento,4,Eficiente
340,False,14,Casa,3,Moderado
251,False,9,Casa,6,Eficiente
92,True,12,Casa,1,Moderado
247,True,5,Apartamento,2,Eficiente
675,False,4,Apartamento,7,Ineficiente
400,True,8,Casa,11,Moderado
398,True,7,Apartamento,3,Moderado
692,True,11,Casa,1,Ineficiente
408,True,12,Comércio,2,Ineficiente
629,True,6,Comércio,10,Ineficiente
498,True,13,Apartamento,10,Ineficiente
685,True,5,Comércio,9,Ineficiente
174,True,11,Apartamento,7,Moderado
660,False,10,Apartamento,7,Ineficiente
397,False,8,Apartamento,10,Moderado
315,True,3,Casa,8,Moderado
413,False,16,Casa,8,Moderado
455,True,12,Casa,9,Ineficiente
538,True,15,Apartamento,2,Ineficiente
216,False,14,Casa,8,Moderado
667,False,13,Casa,8,Ineficiente
626,False,3,Apartamento,5,Moderado
592,True,14,Casa,5,Ineficiente
375,True,8,Apartamento,4,Moderado
399,False,15,Comércio,5,Moderado
651,True,5,Apartamento,2,Ineficiente
428,True,5,Apartamento,2,Moderado
308,False,8,Apartamento,5,Eficiente
349,False,15,Apartamento,11,Moderado
370,False,5,Casa,3,Eficiente
244,True,15,Comércio,1,Moderado
84,False,13,Casa,9,Moderado
458,True,12,Casa,2,Ineficiente
157,True,8,Apartamento,10,Moderado
489,False,7,Casa,2,Moderado
653,True,6,Casa,4,Ineficiente
211,True,10,Casa,2,Eficiente
680,False,4,Casa,7,Ineficiente
121,True,17,Casa,10,Moderado
168,True,14,Casa,1,Moderado
481,True,16,Apartamento,11,Ineficiente
375,True,13,Apartamento,2,Moderado
374,True,9,Casa,11,Moderado
695,False,6,Comércio,5,Moderado
605,False,4,Casa,2,Moderado
501,True,17,Casa,9,Ineficiente
102,False,9,Casa,4,Eficiente
654,True,15,Apartamento,9,Ineficiente
222,True,3,Casa,11,Moderado
224,False,6,Apartamento,1,Eficiente
304,True,11,Apartamento,1,Moderado
582,False,16,Apartamento,1,Ineficiente
695,True,6,Apartamento,4,Ineficiente
183,False,14,Comércio,9,Moderado
118,True,15,Casa,8,Moderado
277,True,5,Casa,7,Moderado
658,True,12,Apartamento,1,Ineficiente
470,False,12,Apartamento,3,Ineficiente
258,True,4,Casa,9,Moderado
633,False,16,Casa,9,Ineficiente
527,True,17,Apartamento,5,Ineficiente
579,True,5,Casa,6,Ineficiente
94,True,3,Casa,11,Moderado
368,False,12,Comércio,6,Moderado
557,False,10,Apartamento,10,Ineficiente
310,True,3,Apartamento,4,Moderado
499,False,5,Apartamento,1,Moderado
236,True,16,Comércio,5,Moderado
629,False,5,Casa,1,Moderado
520,False,15,Casa,1,Ineficiente
176,True,17,Apartamento,11,Moderado
490,True,4,Apartamento,5,Ineficiente
368,False,16,Casa,5,Moderado
333,False,7,Comércio,7,Moderado
275,False,12,Apartamento,2,Eficiente
677,True,5,Casa,6,Ineficiente
601,True,5,Casa,2,Ineficiente
596,True,10,Casa,10,Ineficiente
197,False,6,Apartamento,5,Eficiente
238,False,6,Comércio,4,Eficiente
307,True,5,Casa,11,Moderado
295,True,13,Comércio,10,Ineficiente
94,True,3,Apartamento,5,Eficiente
236,True,10,Apartamento,2,Eficiente
340,True,17,Apartamento,8,Ineficiente
236,True,3,Casa,8,Moderado
126,True,9,Apartamento,6,Eficiente
403,True,7,Casa,3,Moderado
209,True,6,Apartamento,4,Eficiente
490,True,6,Casa,1,Ineficiente
174,True,10,Apartamento,9,Moderado
371,True,13,Apartamento,10,Ineficiente
362,True,13,Casa,5,Moderado
148,True,15,Casa,8,Moderado
90,True,16,Apartamento,3,Moderado
333,False,8,Apartamento,4,Eficiente
629,False,16,Casa,4,Ineficiente
213,False,14,Apartamento,8,Moderado
102,True,3,Casa,9,Moderado
425,False,16,Casa,3,Moderado
381,False,12,Casa,7,Moderado
442,True,10,Casa,9,Moderado
475,True,15,Apartamento,2,Ineficiente
297,False,16,Comércio,4,Eficiente
220,True,4,Casa,3,Eficiente
695,True,8,Apartamento,8,Ineficiente
289,False,11,Casa,4,Eficiente
695,False,3,Apartamento,9,Ineficiente
539,True,8,Casa,1,Ineficiente
435,True,10,Apartamento,1,Moderado
403,True,12,Comércio,4,Ineficiente
212,False,15,Casa,3,Eficiente
206,True,4,Apartamento,3,Eficiente
185,True,7,Casa,10,Moderado
683,False,8,Casa,2,Moderado
457,True,7,Casa,10,Ineficiente
130,False,5,Casa,10,Eficiente
108,True,6,Casa,2,Eficiente
541,True,9,Casa,8,Ineficiente
375,False,6,Casa,1,Eficiente
376,True,11,Casa,8,Ineficiente
486,True,13,Apartamento,10,Ineficiente
692,True,14,Comércio,3,Ineficiente
484,False,16,Casa,2,Ineficiente
425,False,15,Casa,9,Moderado
499,False,15,Casa,5,Ineficiente
261,True,12,Comércio,5,Moderado
80,True,4,Apartamento,6,Eficiente
646,True,7,Apartamento,4,Ineficiente
450,False,10,Casa,7,Moderado
510,True,16,Casa,7,Ineficiente
388,False,7,Casa,11,Moderado
216,True,12,Comércio,9,Ineficiente
281,False,14,Comércio,6,Eficiente
515,False,10,Casa,1,Moderado
392,False,10,Apartamento,9,Moderado
196,True,11,Casa,10,Moderado
654,True,12,Casa,9,Ineficiente
323,True,8,Comércio,5,Moderado
616,True,14,Apartamento,7,Ineficiente
681,True,6,Casa,1,Ineficiente
154,True,14,Casa,4,Moderado
465,True,13,Apartamento,10,Ineficiente
289,False,5,Apartamento,4,Eficiente
554,False,17,Apartamento,5,Ineficiente
497,True,14,Casa,6,Ineficiente
426,False,16,Casa,4,Moderado
608,True,7,Comércio,6,Ineficiente
258,True,8,Apartamento,10,Moderado
261,True,5,Casa,7,Moderado
104,False,4,Apartamento,3,Eficiente
259,True,9,Apartamento,9,Moderado
580,True,13,Casa,8,Ineficiente
240,False,7,Casa,1,Eficiente
256,True,11,Apartamento,2,Moderado
364,False,17,Apartamento,2,Moderado
142,False,5,Apartamento,10,Eficiente
235,False,16,Comércio,9,Moderado
548,True,17,Casa,9,Ineficiente
128,True,10,Casa,9,Moderado
163,True,8,Comércio,1,Eficiente
440,True,6,Casa,7,Moderado
227,True,14,Apartamento,11,Moderado
421,True,14,Apartamento,3,Moderado
555,False,17,Apartamento,11,Ineficiente
142,False,11,Casa,9,Moderado
439,True,7,Apartamento,8,Moderado
640,True,17,Apartamento,3,Ineficiente
406,True,12,Apartamento,1,Moderado
220,True,8,Apartamento,9,Moderado
294,False,16,Casa,10,Moderado
514,False,17,Casa,1,Ineficiente
397,False,17,Casa,3,Moderado
111,False,15,Casa,6,Eficiente
364,True,11,Comércio,6,Ineficiente
384,False,9,Apartamento,11,Moderado
508,True,14,Apartamento,10,Ineficiente
556,False,7,Apartamento,4,Moderado
365,True,4,Casa,2,Moderado
223,True,6,Comércio,10,Moderado
503,True,4,Casa,6,Ineficiente
98,True,5,Casa,10,Moderado
97,False,12,Apartamento,5,Eficiente
669,True,14,Comércio,6,Ineficiente
450,True,5,Comércio,7,Ineficiente
254,True,6,Casa,11,Moderado
273,False,8,Comércio,9,Eficiente
581,True,14,Casa,7,Ineficiente
192,False,5,Casa,4,Eficiente
193,False,12,Apartamento,10,Moderado
301,False,16,Comércio,5,Moderado
343,False,3,Apartamento,6,Eficiente
134,True,3,Apartamento,9,Moderado
537,True,11,Apartamento,5,Ineficiente
241,False,11,Apartamento,5,Eficiente
459,True,7,Comércio,7,Ineficiente
166,True,11,Apartamento,2,Moderado
134,False,13,Comércio,3,Eficiente
555,True,9,Comércio,2,Ineficiente
257,False,11,Casa,10,Moderado
470,True,14,Apartamento,10,Ineficiente
428,False,9,Apartamento,2,Eficiente
87,True,11,Casa,3,Moderado
392,False,17,Apartamento,6,Moderado
522,True,4,Casa,5,Ineficiente
407,True,13,Apartamento,11,Ineficiente
133,False,13,Comércio,5,Eficiente
318,True,10,Casa,2,Moderado
308,True,9,Casa,2,Moderado
658,True,8,Comércio,1,Ineficiente
130,False,7,Casa,3,Eficiente
688,True,6,Casa,11,Ineficiente
683,False,9,Casa,7,Ineficiente
343,True,5,Apartamento,11,Moderado
497,True,10,Apartamento,5,Ineficiente
175,False,4,Apartamento,7,Eficiente
167,False,3,Apartamento,9,Eficiente
157,False,13,Apartamento,6,Eficiente
367,False,4,Apartamento,2,Eficiente
199,True,11,Casa,1,Moderado
570,True,7,Apartamento,1,Ineficiente
531,True,13,Apartamento,10,Ineficiente
579,False,10,Apartamento,9,Ineficiente
244,False,5,Casa,6,Eficiente
261,True,9,Casa,6,Eficiente
548,True,17,Casa,4,Ineficiente
86,True,4,Casa,2,Eficiente
409,False,10,Apartamento,10,Moderado
230,True,16,Casa,3,Moderado
164,True,9,Apartamento,3,Eficiente
226,True,14,Casa,8,Moderado
460,False,7,Casa,6,Moderado
627,False,14,Apartamento,7,Ineficiente
364,False,13,Casa,9,Moderado
161,True,6,Comércio,1,Eficiente
593,True,3,Casa,2,Ineficiente
602,False,7,Casa,9,Ineficiente
465,False,14,Apartamento,5,Ineficiente
550,True,11,Apartamento,4,Ineficiente
198,True,12,Casa,1,Moderado
475,True,6,Casa,9,Ineficiente
611,True,15,Apartamento,11,Ineficiente
340,False,11,Comércio,9,Ineficiente
335,True,14,Comércio,4,Ineficiente
305,True,4,Casa,9,Moderado
132,True,6,Comércio,10,Moderado
579,True,11,Casa,1,Ineficiente
585,True,6,Casa,5,Ineficiente
443,True,7,Apartamento,1,Moderado
359,True,13,Casa,4,Moderado
672,False,10,Casa,5,Moderado
237,True,3,Casa,11,Moderado
138,True,3,Casa,3,Eficiente
207,False,11,Apartamento,2,Eficiente
194,False,11,Apartamento,6,Eficiente
288,False,6,Casa,11,Eficiente
605,True,15,Apartamento,3,Ineficiente
600,True,4,Comércio,10,Ineficiente
631,True,15,Apartamento,1,Ineficiente
316,True,11,Casa,11,Ineficiente
360,True,16,Comércio,5,Ineficiente
438,False,6,Apartamento,2,Eficiente
280,True,8,Casa,2,Eficiente
357,True,14,Casa,4,Moderado
314,False,3,Casa,4,Eficiente
573,True,14,Apartamento,4,Ineficiente
83,False,11,Casa,7,Moderado
521,False,7,Apartamento,1,Moderado
108,False,17,Casa,8,Moderado
188,False,5,Comércio,10,Eficiente
689,True,6,Casa,9,Ineficiente
154,True,3,Comércio,10,Moderado
225,False,16,Comércio,6,Eficiente
207,False,11,Casa,4,Eficiente
121,True,16,Apartamento,6,Moderado
435,False,10,Casa,10,Moderado
120,True,6,Comércio,7,Moderado
113,False,4,Apartamento,6,Eficiente
96,True,16,Casa,11,Moderado
232,True,11,Casa,1,Moderado
457,False,6,Casa,5,Moderado
667,True,11,Comércio,8,Ineficiente
678,True,12,Apartamento,8,Ineficiente
421,True,5,Comércio,10,Ineficiente
106,False,9,Casa,9,Eficiente
366,False,9,Casa,4,Eficiente
247,False,12,Comércio,10,Moderado
689,False,15,Casa,6,Ineficiente
347,False,6,Comércio,7,Moderado
534,True,4,Casa,5,Ineficiente
480,True,13,Casa,11,Ineficiente
555,False,11,Apartamento,8,Ineficiente
637,True,6,Comércio,3,Ineficiente
655,True,10,Comércio,8,Ineficiente
209,True,16,Casa,5,Moderado
442,True,4,Casa,1,Moderado
371,False,10,Apartamento,6,Eficiente
450,True,13,Apartamento,2,Moderado
108,False,12,Apartamento,7,Moderado
228,True,7,Casa,9,Moderado
375,True,9,Comércio,3,Moderado
90,True,9,Apartamento,10,Moderado
591,False,14,Apartamento,4,Ineficiente
192,False,11,Apartamento,4,Eficiente
266,False,5,Casa,4,Eficiente
306,False,12,Comércio,3,Moderado
389,False,6,Apartamento,5,Eficiente
177,False,12,Comércio,9,Moderado
134,False,6,Comércio,11,Eficiente
485,False,17,Apartamento,8,Ineficiente
148,True,15,Apartamento,10,Moderado
391,True,12,Casa,2,Moderado
368,False,7,Casa,9,Moderado
627,False,16,Casa,10,Ineficiente
227,True,8,Casa,2,Eficiente
546,False,17,Casa,7,Ineficiente
323,False,5,Casa,5,Eficiente
570,True,15,Casa,7,Ineficiente
586,False,6,Casa,5,Moderado
444,True,5,Casa,6,Moderado
561,True,4,Casa,8,Ineficiente
280,True,12,Apartamento,1,Moderado
233,True,14,Apartamento,11,Moderado
529,False,11,Casa,1,Ineficiente
580,True,3,Apartamento,5,Ineficiente
152,True,4,Apartamento,1,Eficiente
375,True,10,Casa,3,Moderado
96,True,17,Apartamento,10,Moderado
296,True,9,Comércio,9,Moderado
140,False,14,Apartamento,7,Moderado
695,True,3,Casa,6,Ineficiente
121,False,7,Apartamento,8,Eficiente
104,False,12,Casa,8,Moderado
118,True,8,Apartamento,6,Eficiente
210,False,7,Comércio,4,Eficiente
577,True,6,Apartamento,4,Ineficiente
308,True,16,Comércio,4,Ineficiente
187,True,15,Casa,6,Moderado
251,True,3,Comércio,1,Eficiente
514,True,9,Apartamento,2,Ineficiente
557,False,11,Casa,6,Ineficiente
181,True,8,Apartamento,11,Moderado
603,False,5,Casa,1,Moderado
354,True,17,Casa,9,Ineficiente
692,False,12,Apartamento,6,Ineficiente
123,True,16,Casa,7,Moderado
96,True,6,Apartamento,1,Eficiente
409,True,12,Casa,8,Ineficiente
648,True,7,Casa,5,Ineficiente
576,True,17,Comércio,5,Ineficiente
91,False,14,Casa,6,Eficiente
397,True,14,Apartamento,7,Ineficiente
671,False,3,Apartamento,7,Ineficiente
295,False,7,Apartamento,5,Eficiente
418,False,3,Comércio,1,Eficiente
160,True,11,Apartamento,11,Moderado
564,True,9,Casa,9,Ineficiente
453,False,5,Comércio,6,Moderado
279,False,11,Casa,9,Moderado
616,True,4,Apartamento,11,Ineficiente
545,True,14,Comércio,4,Ineficiente
168,True,9,Apartamento,2,Eficiente
347,False,11,Apartamento,3,Moderado
650,False,8,Apartamento,4,Moderado
568,True,12,Apartamento,10,Ineficiente
617,False,7,Comércio,8,Ineficiente
126,False,14,Casa,3,Eficiente
367,True,9,Casa,8,Moderado
95,False,16,Apartamento,6,Eficiente
480,False,17,Apartamento,4,Ineficiente
165,True,17,Casa,7,Moderado
329,False,8,Casa,11,Moderado
470,True,7,Casa,5,Ineficiente
414,True,16,Comércio,5,Ineficiente
598,True,4,Apartamento,9,Ineficiente
216,True,10,Casa,3,Eficiente
577,True,17,Casa,10,Ineficiente
556,True,15,Casa,4,Ineficiente
673,False,9,Casa,5,Moderado
302,True,8,Casa,1,Moderado
451,False,7,Comércio,7,Ineficiente
481,True,7,Comércio,8,Ineficiente
522,False,11,Casa,6,Ineficiente
569,False,3,Casa,9,Ineficiente
694,True,11,Casa,3,Ineficiente
352,False,8,Apartamento,2,Eficiente
605,True,6,Casa,5,Ineficiente
238,False,12,Casa,9,Moderado
231,True,16,Casa,11,Moderado
699,False,9,Apartamento,1,Moderado
267,False,11,Apartamento,1,Eficiente
177,True,7,Apartamento,10,Moderado
210,True,16,Casa,3,Moderado
250,False,7,Comércio,10,Eficiente
262,True,10,Comércio,3,Eficiente
443,True,9,Casa,5,Moderado
118,True,15,Casa,4,Moderado
606,True,15,Apartamento,6,Ineficiente
576,False,10,Casa,8,Ineficiente
595,True,13,Casa,8,Ineficiente
428,True,14,Apartamento,11,Ineficiente
476,False,12,Apartamento,4,Ineficiente
240,False,4,Casa,1,Eficiente
95,True,11,Apartamento,7,Moderado
572,True,5,Comércio,6,Ineficiente
505,False,8,Casa,5,Moderado
187,False,8,Apartamento,4,Eficiente
529,True,4,Casa,6,Ineficiente
390,True,14,Casa,8,Ineficiente
249,True,15,Apartamento,6,Moderado
625,True,9,Casa,3,Ineficiente
493,True,11,Casa,9,Ineficiente
330,False,14,Casa,3,Moderado
220,True,12,Apartamento,4,Moderado
353,False,13,Apartamento,5,Moderado
495,True,3,Casa,11,Ineficiente
687,False,10,Apartamento,2,Moderado
118,False,4,Casa,11,Eficiente
108,True,16,Apartamento,10,Moderado
556,True,3,Casa,11,Ineficiente
397,True,10,Apartamento,10,Moderado
324,False,4,Comércio,2,Eficiente
351,False,8,Comércio,6,Eficiente
519,True,17,Casa,2,Ineficiente
318,True,8,Comércio,10,Ineficiente
456,True,7,Casa,1,Ineficiente
345,False,10,Comércio,8,Moderado
438,True,5,Casa,10,Moderado
419,True,15,Casa,10,Ineficiente
468,True,12,Casa,1,Ineficiente
656,True,17,Casa,10,Ineficiente
82,False,6,Apartamento,6,Eficiente
508,True,9,Comércio,1,Ineficiente
221,False,17,Apartamento,8,Moderado
455,True,9,Apartamento,5,Ineficiente
403,True,15,Apartamento,3,Moderado
225,False,14,Casa,5,Eficiente
372,False,16,Casa,1,Moderado
511,False,10,Casa,1,Moderado
664,True,4,Casa,4,Ineficiente
478,True,13,Casa,9,Ineficiente
423,False,14,Casa,9,Moderado
219,True,4,Casa,1,Eficiente
266,True,6,Casa,3,Eficiente
140,False,15,Comércio,4,Eficiente
459,False,12,Casa,2,Ineficiente
519,False,15,Apartamento,7,Ineficiente
398,False,11,Apartamento,3,Moderado
381,False,12,Apartamento,1,Moderado
423,True,14,Casa,1,Moderado
90,True,11,Casa,3,Moderado
141,False,15,Casa,6,Eficiente
305,True,15,Casa,4,Moderado
232,True,6,Casa,1,Eficiente
643,True,11,Apartamento,7,Ineficiente
650,True,17,Apartamento,2,Ineficiente
663,False,16,Apartamento,5,Ineficiente
654,True,5,Casa,8,Ineficiente
389,True,14,Casa,7,Ineficiente
322,True,7,Apartamento,11,Moderado
572,False,12,Casa,8,Ineficiente
445,True,11,Apartamento,10,Ineficiente
409,True,8,Apartamento,11,Moderado
186,False,5,Casa,6,Eficiente
305,True,12,Casa,7,Ineficiente
297,True,11,Apartamento,9,Moderado
585,True,8,Casa,6,Ineficiente
338,True,6,Casa,9,Moderado
596,False,16,Casa,2,Ineficiente
133,True,6,Casa,2,Eficiente
126,False,10,Apartamento,2,Eficiente
600,True,9,Apartamento,6,Ineficiente
178,True,3,Casa,2,Eficiente
99,False,8,Comércio,3,Eficiente
652,True,10,Comércio,8,Ineficiente
569,True,5,Comércio,8,Ineficiente
498,True,16,Apartamento,11,Ineficiente
141,True,11,Casa,4,Moderado
224,False,12,Casa,9,Moderado
295,True,4,Apartamento,8,Moderado
82,False,16,Apartamento,1,Eficiente
239,False,8,Apartamento,8,Eficiente
199,True,14,Comércio,1,Moderado
168,True,3,Apartamento,4,Eficiente
408,True,14,Casa,10,Ineficiente
659,False,13,Casa,6,Ineficiente
436,True,17,Casa,7,Ineficiente
689,False,4,Apartamento,10,Ineficiente
346,True,15,Apartamento,4,Moderado
696,False,7,Apartamento,8,Ineficiente
402,True,3,Apartamento,8,Moderado
620,False,10,Comércio,9,Ineficiente
274,True,3,Apartamento,6,Eficiente
411,True,15,Apartamento,4,Moderado
249,True,11,Casa,2,Moderado
600,True,12,Comércio,7,Ineficiente
542,False,13,Apartamento,10,Ineficiente
119,True,5,Casa,3,Eficiente
616,True,14,Casa,11,Ineficiente
340,False,4,Comércio,3,Eficiente
474,True,17,Casa,3,Ineficiente
305,True,3,Apartamento,4,Moderado
203,False,11,Casa,2,Eficiente
117,True,17,Apartamento,5,Moderado
407,False,6,Apartamento,3,Eficiente
330,True,14,Casa,10,Ineficiente
255,True,3,Casa,5,Eficiente
681,False,3,Comércio,7,Ineficiente
533,False,9,Apartamento,9,Ineficiente
116,True,4,Comércio,2,Eficiente
395,False,9,Casa,9,Moderado
672,True,14,Casa,10,Ineficiente
193,True,17,Casa,6,Moderado
119,False,9,Apartamento,6,Eficiente
380,True,17,Casa,11,Ineficiente
303,True,12,Casa,3,Moderado
397,False,16,Casa,10,Moderado
428,False,11,Casa,9,Moderado
194,True,15,Apartamento,4,Moderado
402,True,9,Casa,5,Moderado
647,False,15,Apartamento,3,Ineficiente
119,False,16,Comércio,5,Eficiente
119,False,3,Casa,8,Eficiente
368,True,14,Apartamento,8,Ineficiente
341,True,15,Comércio,8,Ineficiente
295,True,10,Comércio,6,Eficiente
226,False,10,Casa,1,Eficiente
415,False,6,Casa,11,Moderado
247,False,15,Casa,10,Moderado
171,False,10,Apartamento,6,Eficiente
432,True,6,Apartamento,11,Moderado
650,True,17,Apartamento,10,Ineficiente
650,True,10,Casa,7,Ineficiente
442,True,7,Casa,9,Moderado
636,True,6,Apartamento,8,Ineficiente
424,True,8,Apartamento,11,Moderado
249,False,4,Apartamento,8,Eficiente
435,False,14,Casa,7,Moderado
270,True,4,Casa,2,Eficiente
501,True,4,Casa,1,Ineficiente
86,True,11,Casa,2,Moderado
212,False,17,Casa,6,Eficiente
636,False,16,Casa,2,Ineficiente
110,False,12,Casa,10,Moderado
614,True,5,Casa,4,Ineficiente
505,True,17,Casa,10,Ineficiente
473,True,12,Apartamento,3,Ineficiente
442,False,6,Casa,6,Eficiente
516,False,12,Apartamento,8,Ineficiente
630,False,14,Apartamento,11,Ineficiente
161,True,10,Apartamento,6,Eficiente
435,False,6,Comércio,2,Eficiente
337,False,13,Casa,5,Moderado
668,True,12,Apartamento,11,Ineficiente
603,True,12,Comércio,6,Ineficiente
374,False,15,Comércio,9,Ineficiente
303,True,9,Casa,6,Moderado
604,False,7,Casa,10,Ineficiente
125,False,11,Casa,5,Eficiente
192,False,6,Apartamento,1,Eficiente
312,False,5,Apartamento,10,Moderado
96,False,15,Casa,5,Eficiente
439,False,4,Apartamento,5,Eficiente
302,True,3,Apartamento,6,Moderado
527,True,13,Casa,7,Ineficiente
444,True,8,Comércio,4,Moderado
405,False,12,Apartamento,7,Moderado
546,True,4,Casa,5,Ineficiente
493,True,10,Apartamento,6,Ineficiente
534,True,8,Casa,4,Ineficiente
665,False,14,Apartamento,8,Ineficiente
312,False,14,Comércio,9,Ineficiente
303,False,7,Comércio,2,Eficiente
491,True,15,Casa,11,Ineficiente
651,False,4,Casa,4,Moderado
414,False,9,Casa,11,Moderado
301,True,4,Apartamento,8,Moderado
116,False,15,Casa,8,Moderado
357,True,16,Apartamento,9,Ineficiente
275,False,7,Casa,3,Eficiente
563,True,4,Casa,1,Ineficiente
321,True,13,Casa,9,Ineficiente
403,False,12,Comércio,1,Moderado
271,True,13,Apartamento,3,Moderado
96,True,13,Casa,3,Moderado
603,False,4,Casa,9,Ineficiente
480,True,17,Apartamento,1,Ineficiente
101,False,9,Casa,7,Eficiente
553,True,11,Apartamento,2,Ineficiente
199,False,7,Apartamento,7,Eficiente
289,False,9,Apartamento,1,Eficiente
385,True,6,Apartamento,10,Moderado
349,False,4,Apartamento,10,Moderado
364,False,5,Comércio,8,Moderado
306,False,4,Comércio,10,Moderado
460,False,7,Apartamento,10,Ineficiente
539,False,8,Casa,2,Moderado
86,True,17,Apartamento,3,Moderado
108,True,17,Casa,8,Moderado
112,False,9,Apartamento,3,Eficiente
158,True,5,Apartamento,1,Eficiente
538,True,6,Casa,9,Ineficiente
649,True,10,Casa,8,Ineficiente
617,True,6,Apartamento,4,Ineficiente
561,True,9,Comércio,8,Ineficiente
509,False,14,Apartamento,5,Ineficiente
364,True,8,Apartamento,3,Moderado
595,True,9,Casa,1,Ineficiente
178,False,3,Apartamento,10,Eficiente
476,False,5,Casa,5,Moderado
568,True,8,Apartamento,11,Ineficiente
118,True,5,Casa,6,Eficiente
350,False,17,Apartamento,4,Moderado
236,False,16,Casa,7,Moderado
154,False,17,Casa,3,Eficiente
209,False,16,Comércio,7,Moderado
163,False,9,Casa,1,Eficiente
101,True,11,Casa,7,Moderado
538,False,5,Apartamento,1,Moderado
618,True,16,Comércio,11,Ineficiente
461,False,3,Casa,1,Moderado
519,False,12,Apartamento,2,Ineficiente
683,True,17,Comércio,2,Ineficiente
100,True,15,Casa,4,Moderado
382,True,8,Casa,1,Moderado
163,True,14,Casa,4,Moderado
532,False,3,Apartamento,2,Moderado
466,True,3,Casa,4,Ineficiente
586,False,16,Casa,4,Ineficiente
336,True,10,Apartamento,9,Moderado
649,False,11,Apartamento,9,Ineficiente
606,False,4,Casa,1,Moderado
241,False,11,Apartamento,5,Eficiente
242,True,7,Casa,7,Moderado
603,False,15,Casa,4,Ineficiente
350,True,10,Apartamento,5,Moderado
571,True,9,Comércio,2,Ineficiente
287,True,9,Casa,3,Eficiente
618,True,6,Comércio,7,Ineficiente
663,False,4,Apartamento,10,Ineficiente
139,True,7,Casa,7,Moderado
509,False,16,Apartamento,4,Ineficiente
684,False,13,Casa,1,Ineficiente
388,True,13,Comércio,1,Ineficiente
599,False,5,Comércio,4,Moderado
